codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D004,ccz,C-00005,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,797,516,53,94,1920,504,83.86,headword,1.0,卷一上,1,0.954,approved
3D005,ccz,C-00006,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,714,512,55,99,1920,504,83.86,inline,0.996,卷一上,1,0.966,approved
3D006,ccz,C-00007,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,538,513,58,89,1920,504,83.86,headword,0.996,卷一上,2,0.977,approved
3D008,ccz,C-00008,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,534,1595,60,93,1920,504,83.86,recovered,0.0,卷一上,2,0.986,approved
3D009,ccz,C-00009,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,373,512,56,94,1920,504,83.86,inline,0.985,卷一上,2,0.939,approved
3D00A,ccz,C-00010,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,367,1385,59,94,1920,504,83.86,inline,0.986,卷一上,2,0.966,approved
3D00C,ccz,C-00012,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,114,1109,67,104,1920,504,83.86,inline,0.874,卷一上,2,0.918,approved
3D00D,ccz,C-00013,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,113,1387,69,92,1920,504,83.86,inline,0.91,卷一上,2,0.841,approved
3D00E,ccz,C-00014,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,28,619,70,99,1920,504,83.86,inline,0.996,卷一上,2,0.892,approved
3D011,ccz,C-00016,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,866,960,52,92,1920,515,83.72,inline,0.998,卷一上,2,0.985,approved
